"timestamp","type","sourceID","targetID","targetInstance","abilityGameID","logID","fight","subType","name","link"
6567575,"summon",7,176,1,71844,"14TxNJmcwjDGQKa8",17,"Druid","屁股没擦干净","https://classic.warcraftlogs.com/reports/14TxNJmcwjDGQKa8#type=summary&view=events&fight=17&start=6565575&end=6569575&source=7"
6598092,"summon",7,176,2,71844,"14TxNJmcwjDGQKa8",17,"Druid","屁股没擦干净","https://classic.warcraftlogs.com/reports/14TxNJmcwjDGQKa8#type=summary&view=events&fight=17&start=6596092&end=6600092&source=7"
6633717,"summon",7,176,3,71844,"14TxNJmcwjDGQKa8",17,"Druid","屁股没擦干净","https://classic.warcraftlogs.com/reports/14TxNJmcwjDGQKa8#type=summary&view=events&fight=17&start=6631717&end=6635717&source=7"
6688149,"summon",7,176,4,71844,"14TxNJmcwjDGQKa8",17,"Druid","屁股没擦干净","https://classic.warcraftlogs.com/reports/14TxNJmcwjDGQKa8#type=summary&view=events&fight=17&start=6686149&end=6690149&source=7"
6698321,"summon",7,176,5,71844,"14TxNJmcwjDGQKa8",17,"Druid","屁股没擦干净","https://classic.warcraftlogs.com/reports/14TxNJmcwjDGQKa8#type=summary&view=events&fight=17&start=6696321&end=6700321&source=7"
6747030,"summon",7,176,6,71844,"14TxNJmcwjDGQKa8",17,"Druid","屁股没擦干净","https://classic.warcraftlogs.com/reports/14TxNJmcwjDGQKa8#type=summary&view=events&fight=17&start=6745030&end=6749030&source=7"
954435,"summon",24,80,NA,71843,"18GyKjrh4nbJcwft",3,"Warlock","야드야전부올려라","https://classic.warcraftlogs.com/reports/18GyKjrh4nbJcwft#type=summary&view=events&fight=3&start=952435&end=956435&source=24"
8421763,"summon",14,221,1,71844,"1FRz6B43Qpt8TJjA",16,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=16&start=8419763&end=8423763&source=14"
8461689,"summon",14,221,2,71844,"1FRz6B43Qpt8TJjA",16,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=16&start=8459689&end=8463689&source=14"
8634809,"summon",14,221,3,71844,"1FRz6B43Qpt8TJjA",16,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=16&start=8632809&end=8636809&source=14"
8698926,"summon",14,221,4,71844,"1FRz6B43Qpt8TJjA",16,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=16&start=8696926&end=8700926&source=14"
8938243,"summon",14,221,1,71844,"1FRz6B43Qpt8TJjA",17,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=17&start=8936243&end=8940243&source=14"
9032432,"summon",14,221,2,71844,"1FRz6B43Qpt8TJjA",17,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=17&start=9030432&end=9034432&source=14"
9150200,"summon",14,221,3,71844,"1FRz6B43Qpt8TJjA",17,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=17&start=9148200&end=9152200&source=14"
9309447,"summon",14,221,4,71844,"1FRz6B43Qpt8TJjA",17,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=17&start=9307447&end=9311447&source=14"
9337271,"summon",14,221,5,71844,"1FRz6B43Qpt8TJjA",17,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=17&start=9335271&end=9339271&source=14"
9394778,"summon",14,221,6,71844,"1FRz6B43Qpt8TJjA",17,"Priest","Bludrunsblac","https://classic.warcraftlogs.com/reports/1FRz6B43Qpt8TJjA#type=summary&view=events&fight=17&start=9392778&end=9396778&source=14"
5517666,"summon",32,70,1,71844,"1KpkCqzTXtbvW6BY",1,"Druid","凉山娃娃","https://classic.warcraftlogs.com/reports/1KpkCqzTXtbvW6BY#type=summary&view=events&fight=1&start=5515666&end=5519666&source=32"
5592891,"summon",32,70,2,71844,"1KpkCqzTXtbvW6BY",1,"Druid","凉山娃娃","https://classic.warcraftlogs.com/reports/1KpkCqzTXtbvW6BY#type=summary&view=events&fight=1&start=5590891&end=5594891&source=32"
5660748,"summon",32,70,3,71844,"1KpkCqzTXtbvW6BY",1,"Druid","凉山娃娃","https://classic.warcraftlogs.com/reports/1KpkCqzTXtbvW6BY#type=summary&view=events&fight=1&start=5658748&end=5662748&source=32"
6133059,"summon",32,70,1,71844,"1KpkCqzTXtbvW6BY",2,"Druid","凉山娃娃","https://classic.warcraftlogs.com/reports/1KpkCqzTXtbvW6BY#type=summary&view=events&fight=2&start=6131059&end=6135059&source=32"
6204982,"summon",32,70,2,71844,"1KpkCqzTXtbvW6BY",2,"Druid","凉山娃娃","https://classic.warcraftlogs.com/reports/1KpkCqzTXtbvW6BY#type=summary&view=events&fight=2&start=6202982&end=6206982&source=32"
3294906,"summon",210,245,NA,71844,"1PBdjcFqf9WgZyhv",5,"Druid","Voilta","https://classic.warcraftlogs.com/reports/1PBdjcFqf9WgZyhv#type=summary&view=events&fight=5&start=3292906&end=3296906&source=210"
3698997,"summon",210,245,1,71844,"1PBdjcFqf9WgZyhv",6,"Druid","Voilta","https://classic.warcraftlogs.com/reports/1PBdjcFqf9WgZyhv#type=summary&view=events&fight=6&start=3696997&end=3700997&source=210"
3707057,"summon",210,245,2,71844,"1PBdjcFqf9WgZyhv",6,"Druid","Voilta","https://classic.warcraftlogs.com/reports/1PBdjcFqf9WgZyhv#type=summary&view=events&fight=6&start=3705057&end=3709057&source=210"
